ada,,'~\b,\b~',"'~\bada\b~',"
ibaratnya,,,,"'~\bibaratnya\b~',"
ibu,,,,"'~\bibu\b~',"
ikut,,,,"'~\bikut\b~',"
ingat,,,,"'~\bingat\b~',"
ingat-ingat,,,,"'~\bingat-ingat\b~',"
ingin,,,,"'~\bingin\b~',"
inginkah,,,,"'~\binginkah\b~',"
inginkan,,,,"'~\binginkan\b~',"
ini,,,,"'~\bini\b~',"
inikah,,,,"'~\binikah\b~',"
inilah,,,,"'~\binilah\b~',"
itu,,,,"'~\bitu\b~',"
itukah,,,,"'~\bitukah\b~',"
itulah,,,,"'~\bitulah\b~',"
jadi,,,,"'~\bjadi\b~',"
jadilah,,,,"'~\bjadilah\b~',"
jadinya,,,,"'~\bjadinya\b~',"
jangan,,,,"'~\bjangan\b~',"
jangankan,,,,"'~\bjangankan\b~',"
janganlah,,,,"'~\bjanganlah\b~',"
jauh,,,,"'~\bjauh\b~',"
jawab,,,,"'~\bjawab\b~',"
jawaban,,,,"'~\bjawaban\b~',"
jawabnya,,,,"'~\bjawabnya\b~',"
jelas,,,,"'~\bjelas\b~',"
jelaskan,,,,"'~\bjelaskan\b~',"
jelaslah,,,,"'~\bjelaslah\b~',"
jelasnya,,,,"'~\bjelasnya\b~',"
jika,,,,"'~\bjika\b~',"
jikalau,,,,"'~\bjikalau\b~',"
juga,,,,"'~\bjuga\b~',"
jumlah,,,,"'~\bjumlah\b~',"
jumlahnya,,,,"'~\bjumlahnya\b~',"
justru,,,,"'~\bjustru\b~',"
kala,,,,"'~\bkala\b~',"
kalau,,,,"'~\bkalau\b~',"
kalaulah,,,,"'~\bkalaulah\b~',"
kalaupun,,,,"'~\bkalaupun\b~',"
kalian,,,,"'~\bkalian\b~',"
kami,,,,"'~\bkami\b~',"
kamilah,,,,"'~\bkamilah\b~',"
kamu,,,,"'~\bkamu\b~',"
kamulah,,,,"'~\bkamulah\b~',"
kan,,,,"'~\bkan\b~',"
kapan,,,,"'~\bkapan\b~',"
kapankah,,,,"'~\bkapankah\b~',"
kapanpun,,,,"'~\bkapanpun\b~',"
karena,,,,"'~\bkarena\b~',"
karenanya,,,,"'~\bkarenanya\b~',"
kasus,,,,"'~\bkasus\b~',"
kata,,,,"'~\bkata\b~',"
katakan,,,,"'~\bkatakan\b~',"
katakanlah,,,,"'~\bkatakanlah\b~',"
katanya,,,,"'~\bkatanya\b~',"
ke,,,,"'~\bke\b~',"
keadaan,,,,"'~\bkeadaan\b~',"
kebetulan,,,,"'~\bkebetulan\b~',"
kecil,,,,"'~\bkecil\b~',"
kedua,,,,"'~\bkedua\b~',"
keduanya,,,,"'~\bkeduanya\b~',"
keinginan,,,,"'~\bkeinginan\b~',"
kelamaan,,,,"'~\bkelamaan\b~',"
kelihatan,,,,"'~\bkelihatan\b~',"
kelihatannya,,,,"'~\bkelihatannya\b~',"
kelima,,,,"'~\bkelima\b~',"
keluar,,,,"'~\bkeluar\b~',"
kembali,,,,"'~\bkembali\b~',"
kemudian,,,,"'~\bkemudian\b~',"
kemungkinan,,,,"'~\bkemungkinan\b~',"
kemungkinannya,,,,"'~\bkemungkinannya\b~',"
kenapa,,,,"'~\bkenapa\b~',"
kepada,,,,"'~\bkepada\b~',"
kepadanya,,,,"'~\bkepadanya\b~',"
kesampaian,,,,"'~\bkesampaian\b~',"
keseluruhan,,,,"'~\bkeseluruhan\b~',"
keseluruhannya,,,,"'~\bkeseluruhannya\b~',"
keterlaluan,,,,"'~\bketerlaluan\b~',"
ketika,,,,"'~\bketika\b~',"
khususnya,,,,"'~\bkhususnya\b~',"
kini,,,,"'~\bkini\b~',"
kinilah,,,,"'~\bkinilah\b~',"
kira,,,,"'~\bkira\b~',"
kira-kira,,,,"'~\bkira-kira\b~',"
kiranya,,,,"'~\bkiranya\b~',"
kita,,,,"'~\bkita\b~',"
kitalah,,,,"'~\bkitalah\b~',"
kok,,,,"'~\bkok\b~',"
kurang,,,,"'~\bkurang\b~',"
lagi,,,,"'~\blagi\b~',"
lagian,,,,"'~\blagian\b~',"
lah,,,,"'~\blah\b~',"
lain,,,,"'~\blain\b~',"
lainnya,,,,"'~\blainnya\b~',"
lalu,,,,"'~\blalu\b~',"
lama,,,,"'~\blama\b~',"
lamanya,,,,"'~\blamanya\b~',"
lanjut,,,,"'~\blanjut\b~',"
lanjutnya,,,,"'~\blanjutnya\b~',"
lebih,,,,"'~\blebih\b~',"
lewat,,,,"'~\blewat\b~',"
lima,,,,"'~\blima\b~',"
luar,,,,"'~\bluar\b~',"
macam,,,,"'~\bmacam\b~',"
maka,,,,"'~\bmaka\b~',"
makanya,,,,"'~\bmakanya\b~',"
makin,,,,"'~\bmakin\b~',"
malah,,,,"'~\bmalah\b~',"
malahan,,,,"'~\bmalahan\b~',"
mampu,,,,"'~\bmampu\b~',"
mampukah,,,,"'~\bmampukah\b~',"
mana,,,,"'~\bmana\b~',"
manakala,,,,"'~\bmanakala\b~',"
manalagi,,,,"'~\bmanalagi\b~',"
masa,,,,"'~\bmasa\b~',"
masalah,,,,"'~\bmasalah\b~',"
masalahnya,,,,"'~\bmasalahnya\b~',"
masih,,,,"'~\bmasih\b~',"
masihkah,,,,"'~\bmasihkah\b~',"
masing,,,,"'~\bmasing\b~',"
masing-masing,,,,"'~\bmasing-masing\b~',"
mau,,,,"'~\bmau\b~',"
maupun,,,,"'~\bmaupun\b~',"
melainkan,,,,"'~\bmelainkan\b~',"
melakukan,,,,"'~\bmelakukan\b~',"
melalui,,,,"'~\bmelalui\b~',"
melihat,,,,"'~\bmelihat\b~',"
melihatnya,,,,"'~\bmelihatnya\b~',"
memang,,,,"'~\bmemang\b~',"
memastikan,,,,"'~\bmemastikan\b~',"
memberi,,,,"'~\bmemberi\b~',"
memberikan,,,,"'~\bmemberikan\b~',"
membuat,,,,"'~\bmembuat\b~',"
memerlukan,,,,"'~\bmemerlukan\b~',"
memihak,,,,"'~\bmemihak\b~',"
meminta,,,,"'~\bmeminta\b~',"
memintakan,,,,"'~\bmemintakan\b~',"
memisalkan,,,,"'~\bmemisalkan\b~',"
memperbuat,,,,"'~\bmemperbuat\b~',"
mempergunakan,,,,"'~\bmempergunakan\b~',"
memperkirakan,,,,"'~\bmemperkirakan\b~',"
memperlihatkan,,,,"'~\bmemperlihatkan\b~',"
