defence,pertahanan,,,,"'/defence/',","'pertahanan',"
defend,membela,,,,"'/defend/',","'membela',"
deg2an,deg-degan,,,,"'/deg2an/',","'deg-degan',"
degdeg,deg-degan,,,,"'/degdeg/',","'deg-degan',"
degdeg-an,deg-degan,,,,"'/degdeg-an/',","'deg-degan',"
degdegan,deg-degan,,,,"'/degdegan/',","'deg-degan',"
degdegser,deg-degan,,,,"'/degdegser/',","'deg-degan',"
deket,dekat,,,,"'/deket/',","'dekat',"
desek2an,desak-desakan,,,,"'/desek2an/',","'desak-desakan',"
desekan,desakan,,,,"'/desekan/',","'desakan',"
dewe,sendiri,,,,"'/dewe/',","'sendiri',"
dftar,daftar,,,,"'/dftar/',","'daftar',"
dg,dengan,,,,"'/dg/',","'dengan',"
dgn,dengan,,,,"'/dgn/',","'dengan',"
dgr,dengar,,,,"'/dgr/',","'dengar',"
dgrin,dengarkan,,,,"'/dgrin/',","'dengarkan',"
dgrn,dengarkan,,,,"'/dgrn/',","'dengarkan',"
dh,sudah,,,,"'/dh/',","'sudah',"
dibangain,dibanggakan,,,,"'/dibangain/',","'dibanggakan',"
dibls,dibalas,,,,"'/dibls/',","'dibalas',"
digangu,diganggu,,,,"'/digangu/',","'diganggu',"
diizinin,diberi izin,,,,"'/diizinin/',","'diberi izin',"
dikasi,dikasih,,,,"'/dikasi/',","'dikasih',"
dikasinya,dikasihnya,,,,"'/dikasinya/',","'dikasihnya',"
dikit,sedikit,,,,"'/dikit/',","'sedikit',"
dikls,di kelas,,,,"'/dikls/',","'di kelas',"
diliat,dilihat,,,,"'/diliat/',","'dilihat',"
diluk,sebentar,,,,"'/diluk/',","'sebentar',"
dimana2,dimana-mana,,,,"'/dimana2/',","'dimana-mana',"
dimkn,dimakan,,,,"'/dimkn/',","'dimakan',"
dimksd,dimaksud,,,,"'/dimksd/',","'dimaksud',"
dimn2,dimana-mana,,,,"'/dimn2/',","'dimana-mana',"
dimna,dimana,,,,"'/dimna/',","'dimana',"
dinstal,diinstall,,,,"'/dinstal/',","'diinstall',"
dipake,dipakai,,,,"'/dipake/',","'dipakai',"
dipangilnya,dipanggilnya,,,,"'/dipangilnya/',","'dipanggilnya',"
dipke,dipakai,,,,"'/dipke/',","'dipakai',"
disawat,dilempar,,,,"'/disawat/',","'dilempar',"
disblah,disebelah,,,,"'/disblah/',","'disebelah',"
discon,diskon,,,,"'/discon/',","'diskon',"
discont,diskon,,,,"'/discont/',","'diskon',"
discount,diskon,,,,"'/discount/',","'diskon',"
disebrang,diseberang,,,,"'/disebrang/',","'diseberang',"
disebuah,disebuah,,,,"'/disebuah/',","'disebuah',"
disekolah,di sekolah,,,,"'/disekolah/',","'di sekolah',"
disekolahan,di sekolahan,,,,"'/disekolahan/',","'di sekolahan',"
disekolahin,disekolahkan,,,,"'/disekolahin/',","'disekolahkan',"
diselengarakan,diselenggarakan,,,,"'/diselengarakan/',","'diselenggarakan',"
diselimutin,diselimuti,,,,"'/diselimutin/',","'diselimuti',"
disenayan,di senayan,,,,"'/disenayan/',","'di senayan',"
disenen,di senen,,,,"'/disenen/',","'di senen',"
disentul,di sentul,,,,"'/disentul/',","'di sentul',"
diservice,diservis,,,,"'/diservice/',","'diservis',"
dishub,dinas perhubungan,,,,"'/dishub/',","'dinas perhubungan',"
dishubkominfo,dinas perhubungan komunikasi dan informatika,,,,"'/dishubkominfo/',","'dinas perhubungan komunikasi dan informatika',"
disi,diisi,,,,"'/disi/',","'diisi',"
disia2in,disia-siakan,,,,"'/disia2in/',","'disia-siakan',"
disimpen,disimpan,,,,"'/disimpen/',","'disimpan',"
disimpng,disimpang,,,,"'/disimpng/',","'disimpang',"
disinih,disini,,,,"'/disinih/',","'disini',"
disklh,di sekolah,,,,"'/disklh/',","'di sekolah',"
diskonnye,diskonnya,,,,"'/diskonnye/',","'diskonnya',"
diskony,diskonnya,,,,"'/diskony/',","'diskonnya',"
diskonya,diskonnya,,,,"'/diskonya/',","'diskonnya',"
diskonye,diskonnya,,,,"'/diskonye/',","'diskonnya',"
disni,disini,,,,"'/disni/',","'disini',"
disono,disana,,,,"'/disono/',","'disana',"
disonoh,disana,,,,"'/disonoh/',","'disana',"
distribution,distribusi,,,,"'/distribution/',","'distribusi',"
district,daerah,,,,"'/district/',","'daerah',"
distroy,hancur,,,,"'/distroy/',","'hancur',"
disturb,ganggu,,,,"'/disturb/',","'ganggu',"
disurga,di surga,,,,"'/disurga/',","'di surga',"
disurh,disuruh,,,,"'/disurh/',","'disuruh',"
disuru,disuruh,,,,"'/disuru/',","'disuruh',"
ditabra,ditabrak,,,,"'/ditabra/',","'ditabrak',"
ditaktir,ditraktir,,,,"'/ditaktir/',","'ditraktir',"
ditaman,di taman,,,,"'/ditaman/',","'di taman',"
ditambahin,ditambahkan,,,,"'/ditambahin/',","'ditambahkan',"
ditanah,di tanah,,,,"'/ditanah/',","'di tanah',"
ditangepin,ditanggapin,,,,"'/ditangepin/',","'ditanggapin',"
ditanggepin,ditanggapin,,,,"'/ditanggepin/',","'ditanggapin',"
ditangkep,ditangkap,,,,"'/ditangkep/',","'ditangkap',"
ditangkepinnya,ditangkapinnya,,,,"'/ditangkepinnya/',","'ditangkapinnya',"
ditangkepinya,ditangkapinnya,,,,"'/ditangkepinya/',","'ditangkapinnya',"
ditangung,ditanggung,,,,"'/ditangung/',","'ditanggung',"
ditaro,ditaruh,,,,"'/ditaro/',","'ditaruh',"
ditarok,ditaruh,,,,"'/ditarok/',","'ditaruh',"
ditelen,ditelan,,,,"'/ditelen/',","'ditelan',"
ditemeni,ditemani,,,,"'/ditemeni/',","'ditemani',"
ditemenin,ditemani,,,,"'/ditemenin/',","'ditemani',"
diteraktir,ditraktir,,,,"'/diteraktir/',","'ditraktir',"
ditingal,ditinggal,,,,"'/ditingal/',","'ditinggal',"
ditingali,ditinggali,,,,"'/ditingali/',","'ditinggali',"
ditingikan,ditinggikan,,,,"'/ditingikan/',","'ditinggikan',"
ditkarkan,ditukarkan,,,,"'/ditkarkan/',","'ditukarkan',"
ditlp,ditelepon,,,,"'/ditlp/',","'ditelepon',"
ditmpt,di tempat,,,,"'/ditmpt/',","'di tempat',"
ditngah,ditengah,,,,"'/ditngah/',","'ditengah',"
ditngguin,ditungguin,,,,"'/ditngguin/',","'ditungguin',"
ditnguin,ditunggu,,,,"'/ditnguin/',","'ditunggu',"
ditnjkn,ditunjukkan,,,,"'/ditnjkn/',","'ditunjukkan',"
ditoko,di toko,,,,"'/ditoko/',","'di toko',"
ditrakter,ditraktir,,,,"'/ditrakter/',","'ditraktir',"
ditrotoar,di trotoar,,,,"'/ditrotoar/',","'di trotoar',"
ditugu,di tugu,,,,"'/ditugu/',","'di tugu',"
dituker,ditukar,,,,"'/dituker/',","'ditukar',"
ditukoke,dibelikan,,,,"'/ditukoke/',","'dibelikan',"
ditukokno,dibelikan,,,,"'/ditukokno/',","'dibelikan',"
ditumbasne,dibelikan,,,,"'/ditumbasne/',","'dibelikan',"
ditumpaki,dinaiki,,,,"'/ditumpaki/',","'dinaiki',"
ditunas,di tunas,,,,"'/ditunas/',","'di tunas',"
ditunggu2,ditunggu-tunggu,,,,"'/ditunggu2/',","'ditunggu-tunggu',"
ditungu,ditunggu,,,,"'/ditungu/',","'ditunggu',"
ditungu2,ditunggu-tunggu,,,,"'/ditungu2/',","'ditunggu-tunggu',"
ditunguin,ditunggu,,,,"'/ditunguin/',","'ditunggu',"
ditunjukan,ditunjukkan,,,,"'/ditunjukan/',","'ditunjukkan',"
ditunjukin,ditunjukkan,,,,"'/ditunjukin/',","'ditunjukkan',"
diturunkn,diturunkan,,,,"'/diturunkn/',","'diturunkan',"
diwarnet,di warnet,,,,"'/diwarnet/',","'di warnet',"
diweekend,di akhir pekan,,,,"'/diweekend/',","'di akhir pekan',"
diwolak,dibalik,,,,"'/diwolak/',","'dibalik',"
djagain,dijaga,,,,"'/djagain/',","'dijaga',"
djemput,dijemput,,,,"'/djemput/',","'dijemput',"
djkt,di jakarta,,,,"'/djkt/',","'di jakarta',"
djln,di jalan,,,,"'/djln/',","'di jalan',"
dkasih,dikasih,,,,"'/dkasih/',","'dikasih',"
dkat,dekat,,,,"'/dkat/',","'dekat',"
dkatkan,dekatkan,,,,"'/dkatkan/',","'dekatkan',"
dket,dekat,,,,"'/dket/',","'dekat',"
dketan,dekat,,,,"'/dketan/',","'dekat',"
dkit,sedikit,,,,"'/dkit/',","'sedikit',"
dkk,dan kawan-kawan,,,,"'/dkk/',","'dan kawan-kawan',"
dklinikk,di klinik,,,,"'/dklinikk/',","'di klinik',"
dkluarin,dikeluarkan,,,,"'/dkluarin/',","'dikeluarkan',"
dkmps,di kampus,,,,"'/dkmps/',","'di kampus',"
dkomplain,dikomplain,,,,"'/dkomplain/',","'dikomplain',"
dksh,dikasih,,,,"'/dksh/',","'dikasih',"
dkt,dekat,,,,"'/dkt/',","'dekat',"
dkung,dukung,,,,"'/dkung/',","'dukung',"
dl,dulu,,,,"'/dl/',","'dulu',"
dlakukan,dilakukan,,,,"'/dlakukan/',","'dilakukan',"
dlakukn,dilakukan,,,,"'/dlakukn/',","'dilakukan',"
dlam,dalam,,,,"'/dlam/',","'dalam',"
dlanjutin,dilanjutkan,,,,"'/dlanjutin/',","'dilanjutkan',"
dliat,dilihat,,,,"'/dliat/',","'dilihat',"
dliburkan,diliburkan,,,,"'/dliburkan/',","'diliburkan',"
